Time,Prey,Predator
0.000000000000000000e+00,6.000000000000000000e+01,6.400000000000000000e+01
2.002002002002002123e-01,1.619072244889105505e+01,7.935940202493510753e+01
4.004004004004004247e-01,4.481189197266047586e+00,6.721194344967979362e+01
6.006006006006006093e-01,1.665900837511726129e+00,5.189411783074458384e+01
8.008008008008008494e-01,8.225545668279389266e-01,3.911370574423081337e+01
1.001001001001001089e+00,5.091912705027665798e-01,2.924837211647638924e+01
1.201201201201201219e+00,3.744894675605557333e-01,2.180250992322772419e+01
1.401401401401401570e+00,3.134924852206417145e-01,1.622946930422478928e+01
1.601601601601601699e+00,2.890793852730766944e-01,1.207356722069584265e+01
1.801801801801801828e+00,2.864827402080066809e-01,8.980154105253241426e+00
2.002002002002002179e+00,2.995429956059355581e-01,6.679871787037379605e+00
2.202202202202202308e+00,3.259309883492573223e-01,4.970289667179632609e+00
2.402402402402402437e+00,3.653019465423264500e-01,3.700066137168176894e+00
2.602602602602602566e+00,4.185358493449035100e-01,2.756376032867118742e+00
2.802802802802803139e+00,4.874293132155201880e-01,2.055248942581652916e+00
3.003003003003003268e+00,5.745988446107983538e-01,1.534255175184928044e+00
3.203203203203203397e+00,6.834982579822437287e-01,1.147011890431953063e+00
3.403403403403403527e+00,8.185098114515033663e-01,8.590745433117632501e-01
3.603603603603603656e+00,9.850934579470851382e-01,6.448724588652510192e-01
3.803803803803804229e+00,1.189990654012450744e+00,4.854270319371810638e-01
4.004004004004004358e+00,1.441485957191350531e+00,3.666546225173656359e-01
4.204204204204204487e+00,1.749734203136029453e+00,2.781053265413927500e-01
4.404404404404404616e+00,2.127164851538569490e+00,2.120262494560996580e-01
4.604604604604604745e+00,2.588978791760031761e+00,1.626661450373981799e-01
4.804804804804804874e+00,3.153756921678172898e+00,1.257594860917250201e-01
5.005005005005005003e+00,3.844204435000686537e+00,9.814390894637364804e-02
5.205205205205205132e+00,4.688060205886458220e+00,7.747683589700590789e-02
5.405405405405406150e+00,5.719207165394350589e+00,6.202595907051040858e-02
5.605605605605606279e+00,6.979027335114643904e+00,5.051495088042300824e-02
5.805805805805806408e+00,8.518054415422183112e+00,4.201086878412628456e-02
6.006006006006006537e+00,1.039798763444731478e+01,3.584378374864522626e-02
6.206206206206206666e+00,1.269414284012614758e+01,3.155272993928500552e-02
6.406406406406406795e+00,1.549842983225254045e+01,2.885591590388568786e-02
6.606606606606606924e+00,1.892295634887670275e+01,2.764869128079213562e-02
6.806806806806807053e+00,2.310436223271739564e+01,2.804346764720619736e-02
7.007007007007007182e+00,2.820896344733504435e+01,3.049059364576815062e-02
7.207207207207207311e+00,3.443867746559779164e+01,3.608567482953500827e-02
7.407407407407407440e+00,4.203733279494688446e+01,4.736372780386395587e-02
7.607607607607608458e+00,5.129570074526583312e+01,7.052570801979196613e-02
7.807807807807808587e+00,6.254893870439666159e+01,1.224433624091917638e-01
8.008008008008008716e+00,7.614079358874126058e+01,2.560693268312557724e-01
8.208208208208208845e+00,9.223531962355573910e+01,6.692928890172602507e-01
8.408408408408408974e+00,1.098300010271321554e+02,2.259672146201862741e+00
8.608608608608609103e+00,1.213247044288328738e+02,9.676434091686887840e+00
8.808808808808809232e+00,9.568744332483356629e+01,3.937902878890864145e+01
9.009009009009009361e+00,3.484008799955255142e+01,7.650039457710596480e+01
9.209209209209209490e+00,8.867465306760234256e+00,7.529539724913999521e+01
9.409409409409409619e+00,2.777921218278615711e+00,6.021774463751533091e+01
9.609609609609609748e+00,1.179160484622022498e+00,4.583387609496990933e+01
9.809809809809809877e+00,6.484980924013399317e-01,3.439114532558342319e+01
1.001001001001001001e+01,4.360301660175030514e-01,2.567249042986691876e+01
1.021021021021021014e+01,3.412705102267086787e-01,1.912245518103316755e+01
1.041041041041041026e+01,2.992898656941148094e-01,1.422962643814848782e+01
1.061061061061061039e+01,2.857210500518486684e-01,1.058449794025556656e+01
1.081081081081081230e+01,2.905565047426886816e-01,7.872667798389349159e+00
1.101101101101101243e+01,3.096875393404748267e-01,5.856700591026681835e+00
1.121121121121121256e+01,3.418081702805900179e-01,4.358644346752541310e+00
1.141141141141141269e+01,3.871769201409977490e-01,3.245652644179588542e+00
1.161161161161161282e+01,4.471035720896978094e-01,2.418772393734827553e+00
1.181181181181181294e+01,5.237531294301149831e-01,1.804396073334199047e+00
1.201201201201201307e+01,6.201073663977739736e-01,1.347817120506763722e+00
1.221221221221221320e+01,7.400180919681650371e-01,1.008400011726479972e+00
1.241241241241241333e+01,8.883251661588299486e-01,7.559730363803756070e-01
1.261261261261261346e+01,1.071029974426707110e+00,5.681400561335981925e-01
